COMUNE;TITOLARE;DITTA;INDIRIZZO;N. CIVICO;ZONA;AREA QSV;SUP.ALIM.;SUP.NON ALIM.;SUP.TOTALE DI VENDITA;QUOTIDIANI E PERIODICI;MERCEOLOGIA (MGSV);IN AFFITTO (MGSV);CENTRO COMMERCIALE;POLO COMMERCIALE;CODICE ATECO
ACQUASPARTA;ADESSI ANTONIETTA;1-Individuale;VIA MARCONI;13;2-resto del capoluogo;10.0;0.0;10.0;;;;;;;
ACQUASPARTA;AMBROGI NOEMI;1-Individuale;VIA MATTEOTTI;1/B;2-resto del capoluogo;0.0;140.0;140.0;;;;;;;
ACQUASPARTA;AMMIRATI FRANCESCO;1-Individuale;VIA ROMA;SN;1-centro storico;0.0;10.0;10.0;1.0;;;;;;
ACQUASPARTA;AMMIRATI SABRINA;1-Individuale;VIA MARCONI;9;2-resto del capoluogo;0.0;60.0;60.0;;;;;;;
ACQUASPARTA;ANDREANI DANIELA;1-Individuale;VIA STELLUTI;12;1-centro storico;5.0;0.0;5.0;;;;;;;
ACQUASPARTA;AQUILANI GIULIO;1-Individuale;VIA MAZZINI;32/C;2-resto del capoluogo;0.0;50.0;50.0;;;;;;;
ACQUASPARTA;ARREDI FIORELLI S.N.C.;2-s.n.c.;LOC. CAPANNE ZONA INDUSTRIALE;1/A;3-resto del territorio;0.0;130.0;130.0;;;;;;;
ACQUASPARTA;ATANASI GIULIANA;1-Individuale;LOC. CAPANNE ZONA INDUSTRIALE;SN;3-resto del territorio;0.0;21.0;21.0;;;;;;;
ACQUASPARTA;AUTO SAVERI DI SAVERI BRUNO E C. S.N.C.;2-s.n.c.;VIA MARCONI;25;2-resto del capoluogo;0.0;100.0;100.0;;;;;;;
ACQUASPARTA;AUTOGRILL S.P.A.;5-s.p.a.;S.S. E45;KM 13+250;3-resto del territorio;0.0;40.0;40.0;1.0;;;;;;
ACQUASPARTA;B & M. DI BAIOCCO PINA E C. S.N.C.;2-s.n.c.;PIAZZA F. CESI;16;1-centro storico;0.0;40.0;40.0;;;;;;;
